si_lat,si_lon,uj_lat,uj_lon,Z1,Z2
17.712474,-64.784868,20.66346,-69.4557,17.8,4.674628709677419
18.009558,-66.627249,20.66346,-69.4557,17.1,4.674628709677419
18.175378,-66.725988,20.66346,-69.4557,13.22222222222222,4.674628709677419
18.198712,-66.052237,20.66346,-69.4557,15.5,4.674628709677419
18.343811,-64.931389,20.66346,-69.4557,19.35483870967742,4.674628709677419
18.383983,-65.618888,20.66346,-69.4557,17.444444444444443,4.674628709677419
18.420089,-66.150615,20.66346,-69.4557,16.6,4.674628709677419
18.440095,-66.11446,20.66346,-69.4557,23.066666666666663,4.674628709677419
19.117561,-155.778136,30.36437,-123.81952,19.976744186046517,2.732598387096774
19.2039,-155.480183,30.36437,-123.81952,20.102564102564106,2.732598387096774
19.509778,-155.913417,30.87795,-124.0016,12.516129032258064,2.6668216129032256
19.555444,-155.102028,30.56976,-123.89207,21.86111111111111,2.7215209677419354
19.717562,-155.11053,30.77521,-123.96499,12.47222222222222,2.682227419354839
20.780997,-156.446373,32.62622,-124.63902,16.5,2.7497464516129035
21.303382,-157.871171,33.96447,-125.14648,22.741935483870968,2.9047135483870967
21.30758,-157.85542,33.96447,-125.14648,15.451612903225806,2.9047135483870967
21.323745,-158.088613,34.06744,-125.18626,10.341463414634148,2.8834751290322584
21.392833,-157.969126,34.06744,-125.18626,15.774193548387096,2.8834751290322584
21.949599,-159.36624,35.5089,-125.75487,15.96774193548387,2.923840516129032
25.471944,-80.482778,25.43968,-80.47281,29.9,6.834989032258064
25.794222,-80.215556,25.81684,-80.15662,36.30303030303031,7.933200322580645
25.892518,-97.49383,25.84123,-97.52901,25.53333333333333,5.371810645161291
25.941944,-80.326389,25.95963,-80.36635,26.9,7.606424838709677
26.053889,-80.256944,26.04437,-80.22901,25.59523809523809,9.121416451612903
26.132677,-80.169817,26.14847,-80.20736,31.93548387096774,8.712554193548387
26.22621,-98.291069,26.25857,-98.24073,29.310344827586206,6.48747935483871
26.288622,-98.152066,26.25995,-98.12258,24.5,6.308192903225806
26.291088,-80.096353,26.23305,-80.06954,24.22222222222222,5.816370967741936
26.294167,-80.176389,26.25261,-80.18565,25.87804878048781,8.548828387096775
26.456944,-80.092778,26.461,-80.14207,23.33333333333333,7.586085806451613
26.602016,-81.877908,26.63478,-81.91415,36.5,8.35131206451613
26.687606,-80.219619,26.68908,-80.215,22.571428571428573,8.311785161290324
27.290556,-82.507222,27.26213,-82.52324,28.387096774193548,8.363102903225807
27.426981,-97.298692,27.43382,-97.29971,26.75,4.678708064516129
27.599444,-99.533333,27.6146,-99.58369,29.48275862068965,5.932588387096774
27.785866,-82.739875,27.83793,-82.78457,33.774193548387096,7.283655161290322
27.804489,-97.431553,27.75278,-97.42127,22.951612903225808,6.038158064516129
27.811817,-97.465703,27.85931,-97.42183,23.4,6.040206774193548
27.96565,-82.2304,27.98078,-82.27003,36.891891891891895,9.147976774193548
27.986283,-82.78215,27.9432,-82.76577,24.444444444444443,7.479499032258065
28.028889,-81.972222,28.05126,-82.01208,33.61290322580645,8.985677741935485
28.053611,-80.628611,28.06019,-80.66134,21.8,6.4437865806451615
28.596389,-81.3625,28.61102,-81.41221,27.956521739130437,8.823866451612902
28.704607,-100.451156,28.65561,-100.47005,21.130434782608692,6.576039677419355
28.746111,-81.310556,28.69794,-81.27142,27.87878787878788,7.571937096774194
29.206667,-81.0525,29.20585,-81.04514,30.80952380952381,6.825390967741935
29.254474,-94.861289,29.22624,-94.85425,20.0,5.269700967741935
29.275381,-98.311692,29.24039,-98.28761,30.52173913043478,7.278996774193549
29.30265,-103.17781,29.27794,-103.20031,15.096774193548388,2.9304855806451617
29.51509,-98.620166,29.55628,-98.66215,25.09375,7.568707419354839
29.529432,-98.391403,29.5599,-98.41595,33.81818181818182,8.312247096774193
29.566112,-82.26608,29.59709,-82.21499,23.161290322580644,6.662055483870968
29.670025,-95.128508,29.65915,-95.08909,26.390243902439025,9.045206774193549
29.679301,-90.779731,29.70524,-90.76605,23.3,7.20988129032258
29.706111,-82.387778,29.73727,-82.43854,22.08333333333333,6.982112903225807
29.733726,-95.257593,29.76846,-95.20991,36.62857142857143,10.032019032258065
29.767997,-95.220582,29.76846,-95.20991,39.58620689655172,10.032019032258065
29.770698,-95.031232,29.76627,-95.08649,27.93103448275862,10.259220967741935
29.81453,-95.38769,29.77049,-95.33334,34.0,9.501175483870968
29.863957,-94.317802,29.85724,-94.34253,30.0,6.283455580645161
29.900314,-90.109836,29.88042,-90.13245,22.727272727272727,7.391400645161291
29.901036,-95.326137,29.87765,-95.33107,28.75,9.154331612903226
29.922894,-93.909018,29.95432,-93.96786,24.82758620689655,7.195858064516129
29.943164,-89.97625,29.97914,-89.99968,20.4,7.738885806451613
29.996013,-90.11819,29.98732,-90.1231,27.1,8.54426064516129
30.041238,-90.272826,29.99536,-90.24655,18.0,8.25388064516129
30.135797,-81.633981,30.16051,-81.60471,24.1,8.679090967741937
30.194167,-93.866944,30.16501,-93.83558,23.96551724137931,6.368791225806452
30.219101,-91.062552,30.2616,-91.09528,24.3,10.91613806451613
30.22611,-92.042908,30.20552,-92.09433,24.7,8.590071935483872
30.227798,-93.579965,30.26446,-93.58295,18.8,5.851364677419355
30.262778,-81.606833,30.26625,-81.58377,38.67741935483871,8.723064838709677
30.263204,-97.712891,30.21043,-97.68279,31.29032258064516,8.457381612903227
30.300833,-89.395916,30.25669,-89.35176,27.580645161290324,6.283927096774193
30.35386,-97.69166,30.31772,-97.68372,34.22222222222222,8.556089677419356
30.354722,-81.547778,30.37202,-81.56277,21.25,8.393655161290322
30.378287,-88.53393,30.41366,-88.58669,34.0,8.888665483870968
30.390369,-89.049778,30.34526,-89.09348,32.064516129032256,7.532455161290323
30.439722,-84.346389,30.41764,-84.32525,24.5,8.18711064516129
30.461981,-91.179219,30.48271,-91.20341,30.18032786885246,13.063092258064517
30.497478,-87.880258,30.45829,-87.83116,28.375,5.957860322580645
30.500642,-91.213556,30.48271,-91.20341,27.41935483870968,13.063092258064517
30.503287,-90.377212,30.53829,-90.32458,20.066666666666663,5.870785806451613
30.525367,-87.20355,30.50914,-87.19869,28.416666666666668,8.31121064516129
30.770181,-88.087761,30.80026,-88.04225,29.3,7.120839032258065
30.8486,-83.2933,30.82446,-83.24702,26.5,8.07400612903226
31.169805,-81.495035,31.13133,-81.53793,27.55555555555556,7.603593225806452
31.177824,-92.410746,31.18773,-92.40985,18.9,5.92527193548387
